obfuscated,deobfuscated
field_96417_a,address
func_98162_a,parseFromJson
field_96430_d,servers
func_98161_a,parseFromJson
func_96397_a,getDecodedMotd
func_96398_b,getDecodedServerName
func_96399_a,setServerName
func_96400_b,setMotd
func_96401_a,updateFrom
func_98163_a,parseFromJson
func_98164_a,parseInvitedPlayers
func_98165_c,parseFromJsonString
field_96408_a,serverId
field_96406_b,serverName
field_96407_c,motd
field_96404_d,state
field_96405_e,owner
field_96402_f,invitedPlayers
field_96403_g,ipAddress
field_98166_h,expired
field_104063_i,daysLeft
field_96415_h,playerCount
field_96413_j,minigameName
field_96414_k,minigameId
field_96411_l,isMinigame
field_102022_m,isUpdated
field_96412_m,minigameSeed
field_96409_n,decodedMotd
field_96410_o,decodedServerName
field_77430_b,pendingServerStats
field_77431_c,pendingClientStats
field_77433_l,receiveTimeout
field_77434_m,sendTimeout
func_77425_c,isSyncReady
func_77412_a,migrateOldFile
func_77417_a,readStatsFromFiles
func_77413_a,readStatsFromFile
func_77421_a,writeStatsToFile
func_77422_e,processSync
func_100008_d,isDurationMax
func_100009_j_,getFacing
func_100011_g,getIsPotionDurationMax
func_100012_b,setPotionDurationMax
func_100015_a,isKeyDown
func_102007_a,canInsertItem
func_102008_b,canExtractItem
func_102013_b,canExtractItemFromInventory
func_102026_a,isBlockTopFacingSurfaceSolid
func_102028_d,isSplashPotionEffect
func_70000_a,addServerStatsToSnooper
func_70001_b,addServerTypeToSnooper
func_70002_Q,isSnooperEnabled
func_70003_b,canCommandSenderUseCommand
func_70004_a,translateString
func_70005_c_,getCommandSenderName
func_70006_a,sendChatToPlayer
func_70007_b,resetLog
func_70008_c,getChatBuffer
func_70011_f,getDistance
func_70012_b,setLocationAndAngles
func_70013_c,getBrightness
func_70014_b,writeEntityToNBT
func_70015_d,setFire
func_70016_h,setVelocity
func_70017_D,doBlockCollisions
func_70018_K,setBeenAttacked
func_70019_c,setEating
func_70020_e,readFromNBT
func_70021_al,getParts
func_70022_Q,getEntityString
func_70023_ak,getEntityName
func_70024_g,addVelocity
func_70025_b,dropItem
func_70026_G,isWet
func_70027_ad,isBurning
func_70028_i,isEntityEqual
func_70029_a,setWorld
func_70030_z,onEntityUpdate
func_70031_b,setSprinting
func_70032_d,getDistanceToEntity
func_70033_W,getYOffset
func_70034_d,setRotationYawHead
func_70035_c,getLastActiveItems
func_70036_a,playStepSound
func_70037_a,readEntityFromNBT
func_70038_c,isOffsetPositionInLiquid
func_70039_c,addEntityID
func_70040_Z,getLookVec
func_70041_e_,canTriggerWalking
func_70042_X,getMountedYOffset
